epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4305.64,1.40857,2.20559,0.00558,0.82741,0.3072,0.32492,0.21537,1.19262,1.51178,0.00606,0.000332504,0.000332504,0.000332504
2,8008.94,1.42438,1.44735,0.00562,0.68333,0.3299,0.36491,0.23999,1.22213,1.12007,0.00615,0.00063947,0.00063947,0.00063947
3,11682.7,1.42231,1.24221,0.00572,0.36725,0.34432,0.3794,0.24796,1.25421,0.95976,0.00645,0.000920036,0.000920036,0.000920036
4,15505.3,1.41136,1.12607,0.00561,0.70444,0.35697,0.45114,0.29294,1.21724,0.89925,0.00613,0.0008812,0.0008812,0.0008812
5,19224.4,1.40885,1.06324,0.00557,0.53316,0.37338,0.44124,0.28121,1.18561,0.84724,0.006,0.0008416,0.0008416,0.0008416
6,22898.5,1.37869,1.00692,0.00548,0.71471,0.37358,0.452,0.28667,1.19969,0.79118,0.00607,0.000802,0.000802,0.000802
7,26569.4,1.37157,0.98036,0.0054,0.59278,0.47503,0.48049,0.29515,1.16763,0.77863,0.00595,0.0007624,0.0007624,0.0007624
8,30230.9,1.36127,0.93501,0.0054,0.7111,0.54313,0.54732,0.32054,1.19206,0.7358,0.00606,0.0007228,0.0007228,0.0007228
9,33893.3,1.34216,0.91743,0.00531,0.7162,0.52034,0.56341,0.33432,1.14256,0.70104,0.00574,0.0006832,0.0006832,0.0006832
10,37567.8,1.3424,0.90253,0.00526,0.44352,0.47876,0.51313,0.31166,1.16946,0.71862,0.00588,0.0006436,0.0006436,0.0006436
11,41241.2,1.33293,0.88495,0.00516,0.71452,0.60682,0.64249,0.40142,1.14527,0.68747,0.00573,0.000604,0.000604,0.000604
12,44907,1.316,0.86057,0.00516,0.76648,0.6087,0.60635,0.35759,1.13692,0.65871,0.00569,0.0005644,0.0005644,0.0005644
13,48564.9,1.30272,0.83441,0.00518,0.79783,0.61676,0.70606,0.4253,1.134,0.65399,0.00567,0.0005248,0.0005248,0.0005248
14,52231.5,1.29362,0.82683,0.00502,0.69841,0.57403,0.56158,0.37828,1.13283,0.65072,0.00572,0.0004852,0.0004852,0.0004852
15,55880.5,1.28275,0.8056,0.00499,0.83931,0.58426,0.65508,0.43154,1.11342,0.62704,0.00554,0.0004456,0.0004456,0.0004456
16,59411,1.21068,0.68882,0.00565,0.82831,0.53769,0.70683,0.49093,1.11507,0.63316,0.00556,0.000406,0.000406,0.000406
17,62960.7,1.19169,0.65931,0.00556,0.85718,0.59195,0.73779,0.5175,1.10675,0.60583,0.00553,0.0003664,0.0003664,0.0003664
18,66544.4,1.18314,0.64708,0.00546,0.90259,0.61755,0.75937,0.52796,1.08875,0.58099,0.0054,0.0003268,0.0003268,0.0003268
19,70073.2,1.17489,0.63762,0.00543,0.84287,0.6288,0.75749,0.53252,1.09377,0.58702,0.0054,0.0002872,0.0002872,0.0002872
20,73601.2,1.15968,0.62063,0.00536,0.58931,0.76943,0.7489,0.53413,1.08024,0.57378,0.00533,0.0002476,0.0002476,0.0002476
21,77143.9,1.1464,0.60371,0.00532,0.5492,0.74753,0.66353,0.4698,1.07541,0.57444,0.00529,0.000208,0.000208,0.000208
22,80686.4,1.14357,0.59782,0.00526,0.77011,0.61671,0.63581,0.452,1.07311,0.56608,0.00528,0.0001684,0.0001684,0.0001684
23,84229.3,1.13258,0.58802,0.00518,0.66772,0.76735,0.74528,0.52636,1.06901,0.55415,0.00524,0.0001288,0.0001288,0.0001288
24,87797.6,1.12355,0.58343,0.00514,0.68853,0.76456,0.75416,0.53057,1.06479,0.55194,0.00524,8.92e-05,8.92e-05,8.92e-05
25,91340.1,1.1215,0.57798,0.00517,0.69917,0.76301,0.75177,0.53402,1.06321,0.5493,0.00522,4.96e-05,4.96e-05,4.96e-05
