epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3246.62,1.30123,1.95881,0.00517,0.9016,0.38506,0.42205,0.29146,1.14343,0.77073,0.00573,0.000276976,0.000276976,0.000276976
2,6496.37,1.31425,0.89843,0.0051,0.89293,0.37868,0.4211,0.28939,1.15051,0.74941,0.00583,0.000543661,0.000543661,0.000543661
3,9713.16,1.31383,0.85433,0.00518,0.91344,0.39658,0.43774,0.30095,1.16811,0.66674,0.00594,0.00079935,0.00079935,0.00079935
4,12930.5,1.30904,0.83088,0.0051,0.7435,0.40522,0.44173,0.30117,1.1885,0.65639,0.00607,0.00078352,0.00078352,0.00078352
5,16155.4,1.3062,0.81297,0.00507,0.75201,0.39981,0.44768,0.31583,1.1206,0.63714,0.0056,0.000767026,0.000767026,0.000767026
6,19400.2,1.29729,0.79537,0.00508,0.74874,0.4062,0.44124,0.31206,1.11726,0.61471,0.00565,0.000750533,0.000750533,0.000750533
7,22645.5,1.29971,0.79524,0.00504,0.75053,0.405,0.50533,0.34378,1.13182,0.6378,0.00575,0.00073404,0.00073404,0.00073404
8,25863.6,1.28641,0.77068,0.00503,0.75223,0.40377,0.54862,0.38292,1.12209,0.60109,0.00561,0.000717546,0.000717546,0.000717546
9,29086.8,1.2733,0.76466,0.00498,0.63816,0.57682,0.63343,0.42473,1.10249,0.59676,0.00549,0.000701053,0.000701053,0.000701053
10,32343.5,1.28137,0.7587,0.00496,0.66331,0.62607,0.67612,0.47385,1.11082,0.60357,0.00556,0.000684559,0.000684559,0.000684559
11,35569.5,1.27773,0.7654,0.00489,0.68296,0.64919,0.68082,0.44487,1.11746,0.58735,0.00557,0.000668066,0.000668066,0.000668066
12,38793.8,1.26562,0.74358,0.00492,0.59295,0.58888,0.60978,0.37137,1.10823,0.58575,0.00555,0.000651573,0.000651573,0.000651573
13,42152.3,1.25863,0.73018,0.00496,0.71888,0.61327,0.68506,0.42789,1.11447,0.58893,0.0056,0.000635079,0.000635079,0.000635079
14,45392.2,1.25271,0.72584,0.00483,0.66389,0.59047,0.64992,0.42198,1.10385,0.58554,0.00553,0.000618586,0.000618586,0.000618586
15,48605.6,1.25067,0.71548,0.00485,0.62186,0.60906,0.62944,0.42815,1.07852,0.56866,0.00537,0.000602092,0.000602092,0.000602092
16,51859.8,1.25646,0.72257,0.00482,0.71313,0.63136,0.70431,0.48556,1.07772,0.5673,0.00538,0.000585599,0.000585599,0.000585599
17,55101,1.2563,0.72227,0.00483,0.57844,0.58389,0.61569,0.43096,1.07899,0.56419,0.00538,0.000569106,0.000569106,0.000569106
18,58312.3,1.23604,0.7044,0.00483,0.90749,0.59968,0.67321,0.46982,1.0754,0.54421,0.00534,0.000552612,0.000552612,0.000552612
19,61546.3,1.24336,0.69738,0.00478,0.88554,0.6272,0.70787,0.49499,1.08868,0.54338,0.00541,0.000536119,0.000536119,0.000536119
20,64766.4,1.22851,0.69267,0.00473,0.91625,0.63981,0.71027,0.48884,1.08729,0.53486,0.00535,0.000519625,0.000519625,0.000519625
21,67986.5,1.22981,0.68411,0.00474,0.91304,0.67105,0.72421,0.48202,1.0662,0.52194,0.00528,0.000503132,0.000503132,0.000503132
22,71386.9,1.22465,0.68617,0.00468,0.89275,0.61551,0.70989,0.48489,1.0645,0.53814,0.00526,0.000486639,0.000486639,0.000486639
23,74618.8,1.22296,0.6852,0.00467,0.82092,0.60479,0.64652,0.43888,1.0652,0.52332,0.00526,0.000470145,0.000470145,0.000470145
24,77861.5,1.20837,0.66605,0.00467,0.78694,0.66403,0.67917,0.47059,1.05382,0.5205,0.00524,0.000453652,0.000453652,0.000453652
25,81115.1,1.21701,0.67088,0.00458,0.89814,0.64794,0.71254,0.4939,1.04915,0.51766,0.00519,0.000437158,0.000437158,0.000437158
26,84337,1.20287,0.65956,0.00464,0.80532,0.62909,0.66422,0.46499,1.04067,0.50939,0.00514,0.000420665,0.000420665,0.000420665
27,87571.3,1.20306,0.65854,0.00455,0.89654,0.65922,0.73469,0.50816,1.04894,0.50516,0.0052,0.000404172,0.000404172,0.000404172
28,90833.1,1.20627,0.65598,0.00459,0.90939,0.67397,0.74103,0.48752,1.03115,0.50133,0.00509,0.000387678,0.000387678,0.000387678
29,94060,1.19606,0.64417,0.00453,0.91118,0.66918,0.74436,0.51055,1.03743,0.50324,0.00511,0.000371185,0.000371185,0.000371185
30,97274.2,1.18532,0.64078,0.00455,0.88442,0.67389,0.71864,0.50411,1.03186,0.49895,0.00508,0.000354691,0.000354691,0.000354691
31,100512,1.18157,0.63984,0.00447,0.87868,0.69966,0.73862,0.50456,1.03106,0.49753,0.00507,0.000338198,0.000338198,0.000338198
